Filter,Width,Height,KernelSize,Variant,BlockX,BlockY,CPU_ms,H2D_ms,Kernel_ms,D2H_ms,Total_GPU_ms,Kernel_Speedup,EndToEnd_Speedup,Throughput_MPixPerSec,GFLOPS,GBps,ArithmeticIntensity,MaxAbsDiff,Mismatches,Validation
Gaussian,1024,1024,5,naive,8,8,29.2829,0.648096,0.144486,0.21808,1.01066,202.669,28.974,7257.26,362.863,188.689,1.92308,1,0,PASS
Gaussian,1024,1024,5,tiled,8,8,29.2829,0.345312,0.074752,0.208832,0.628896,391.734,46.5624,14027.4,701.37,28.0548,25,1,0,PASS
Gaussian,1024,1024,5,separable,8,8,29.2829,0.268608,0.0529408,0.226432,0.547981,553.125,53.4378,19806.6,396.132,198.066,2,1,0,PASS
Gaussian,1024,1024,5,naive,16,16,29.2829,0.197056,0.121139,0.18016,0.498355,241.729,58.7591,8655.96,432.798,225.055,1.92308,1,0,PASS
Gaussian,1024,1024,5,tiled,16,16,29.2829,0.196224,0.0934912,0.223008,0.512723,313.216,57.1125,11215.8,560.789,22.4315,25,1,0,PASS
Gaussian,1024,1024,5,separable,16,16,29.2829,0.174656,0.0531456,0.256224,0.484026,550.994,60.4987,19730.3,394.605,197.303,2,1,0,PASS
Gaussian,1024,1024,5,naive,32,32,29.2829,0.173792,0.1192,0.214016,0.507008,245.662,57.7563,8796.78,439.839,228.716,1.92308,1,0,PASS
Gaussian,1024,1024,5,tiled,32,32,29.2829,0.193472,0.133421,0.200096,0.526989,219.478,55.5665,7859.16,392.958,15.7183,25,1,0,PASS
Gaussian,1024,1024,5,separable,32,32,29.2829,0.17856,0.0855904,0.205088,0.469238,342.128,62.4052,12251.1,245.022,122.511,2,1,0,PASS
Gaussian,1024,1024,5,stream,16,16,29.2829,0,0.730419,0,0.730419,40.0905,40.0905,1435.58,71.7791,2.87116,25,1,0,PASS
Sobel,1024,1024,3,naive,8,8,12.6487,0.192896,0.032224,0.21552,0.44064,392.524,28.7053,32540.2,1301.61,325.402,4,0,0,PASS
Sobel,1024,1024,3,tiled,8,8,12.6487,0.17168,0.0387072,0.220192,0.430579,326.779,29.376,27089.9,1083.6,54.1799,20,0,0,PASS
Sobel,1024,1024,3,naive,16,16,12.6487,0.191904,0.0288768,0.208224,0.429005,438.023,29.4838,36312.1,1452.48,363.121,4,0,0,PASS
Sobel,1024,1024,3,tiled,16,16,12.6487,0.161472,0.0372576,0.20784,0.40657,339.493,31.1108,28143.9,1125.76,56.2879,20,0,0,PASS
Sobel,1024,1024,3,naive,32,32,12.6487,0.15248,0.0382848,0.237408,0.428173,330.384,29.5411,27388.8,1095.55,273.888,4,0,0,PASS
Sobel,1024,1024,3,tiled,32,32,12.6487,0.1584,0.064,0.210464,0.432864,197.636,29.221,16384,655.36,32.768,20,0,0,PASS
Sobel,1024,1024,3,stream,16,16,12.6487,0,0.717578,0,0.717578,17.6269,17.6269,1461.27,58.4509,2.92254,20,0,0,PASS
Median,1024,1024,3,naive,8,8,27.9266,0.234272,0.285475,0.173824,0.693571,97.825,40.2649,3673.09,74.3801,36.7309,2.025,0,0,PASS
Median,1024,1024,3,tiled,8,8,27.9266,0.24704,0.353485,0.253792,0.854317,79.0037,32.6888,2966.4,60.0695,5.93279,10.125,0,0,PASS
Median,1024,1024,3,naive,16,16,27.9266,0.22144,0.286106,0.196704,0.70425,97.6094,39.6544,3665,74.2162,36.65,2.025,0,0,PASS
Median,1024,1024,3,tiled,16,16,27.9266,0.172576,0.27063,0.201664,0.64487,103.191,43.3058,3874.57,78.46,7.74914,10.125,0,0,PASS
Median,1024,1024,3,naive,32,32,27.9266,0.215776,0.323994,0.19136,0.73113,86.1949,38.1965,3236.41,65.5373,32.3641,2.025,0,0,PASS
Median,1024,1024,3,tiled,32,32,27.9266,0.202048,0.33792,0.194976,0.734944,82.6426,37.9983,3103.03,62.8364,6.20606,10.125,0,0,PASS
Median,1024,1024,3,stream,16,16,27.9266,0,0.957158,0,0.957158,29.1766,29.1766,1095.51,22.1841,2.19102,10.125,0,0,PASS
